Assay,Gene,SampleID,Group,Batch,NPX
AKR1C3,AKR1C3,D08,Disease,Batch2,8.96611954039168
AKR1C3,AKR1C3,D09,Disease,Batch2,8.370682381819611
AKR1C3,AKR1C3,D10,Disease,Batch2,8.72375900771136
GAPDH,GAPDH,C01,Control,Batch1,7.456867632537076
GAPDH,GAPDH,C02,Control,Batch1,7.437919295251725
GAPDH,GAPDH,C03,Control,Batch1,7.389031863072354
GAPDH,GAPDH,C04,Control,Batch1,7.55328409464479
GAPDH,GAPDH,C05,Control,Batch1,7.394979180660735
GAPDH,GAPDH,C06,Control,Batch2,7.773232430255092
GAPDH,GAPDH,C07,Control,Batch2,7.715507341913876
GAPDH,GAPDH,C08,Control,Batch2,7.681539553178768
GAPDH,GAPDH,C09,Control,Batch2,7.561188742447234
GAPDH,GAPDH,C10,Control,Batch2,7.620731362112421
GAPDH,GAPDH,D01,Disease,Batch1,7.680520622263358
GAPDH,GAPDH,D02,Disease,Batch1,7.63471529538711
GAPDH,GAPDH,D03,Disease,Batch1,7.3685902575509825
GAPDH,GAPDH,D04,Disease,Batch1,7.562430016591982
GAPDH,GAPDH,D05,Disease,Batch1,7.6797998838216435
GAPDH,GAPDH,D06,Disease,Batch2,7.424057251012874
GAPDH,GAPDH,D07,Disease,Batch2,7.82235503624311
GAPDH,GAPDH,D08,Disease,Batch2,7.605277925004469
GAPDH,GAPDH,D09,Disease,Batch2,7.8272579619614895
GAPDH,GAPDH,D10,Disease,Batch2,7.587163553437068
ACTB,ACTB,C01,Control,Batch1,6.443624890715867
ACTB,ACTB,C02,Control,Batch1,6.745237819933886
ACTB,ACTB,C03,Control,Batch1,6.7833325798447035
ACTB,ACTB,C04,Control,Batch1,6.573805537016043
ACTB,ACTB,C05,Control,Batch1,6.851529172114764
ACTB,ACTB,C06,Control,Batch2,6.617508918326424
ACTB,ACTB,C07,Control,Batch2,6.904688165778319
ACTB,ACTB,C08,Control,Batch2,6.698599613577594
ACTB,ACTB,C09,Control,Batch2,6.7992520301304475
ACTB,ACTB,C10,Control,Batch2,6.925114290371791
ACTB,ACTB,D01,Disease,Batch1,6.581708123783725
ACTB,ACTB,D02,Disease,Batch1,6.667362531573469
ACTB,ACTB,D03,Disease,Batch1,6.917715235193436
ACTB,ACTB,D04,Disease,Batch1,6.63274199302067
ACTB,ACTB,D05,Disease,Batch1,6.887007109706563
ACTB,ACTB,D06,Disease,Batch2,6.713235295696466
ACTB,ACTB,D07,Disease,Batch2,7.011947281559587
ACTB,ACTB,D08,Disease,Batch2,7.176064881253258
ACTB,ACTB,D09,Disease,Batch2,6.471686519511924
ACTB,ACTB,D10,Disease,Batch2,6.773141383550151
VIM,VIM,C01,Control,Batch1,8.36740231953864
VIM,VIM,C02,Control,Batch1,8.470756746233214
VIM,VIM,C03,Control,Batch1,8.295233155417531
VIM,VIM,C04,Control,Batch1,8.4195366507715
VIM,VIM,C05,Control,Batch1,8.375928586655805
VIM,VIM,C06,Control,Batch2,8.794151260125144
VIM,VIM,C07,Control,Batch2,8.629746240820596
VIM,VIM,C08,Control,Batch2,8.644718968199914
VIM,VIM,C09,Control,Batch2,8.509812635124334
VIM,VIM,C10,Control,Batch2,8.49618136869333
VIM,VIM,D01,Disease,Batch1,8.526090015218847
VIM,VIM,D02,Disease,Batch1,8.674951874654472
VIM,VIM,D03,Disease,Batch1,8.52817328247873
VIM,VIM,D04,Disease,Batch1,8.656109963267733
VIM,VIM,D05,Disease,Batch1,8.977522632782557
VIM,VIM,D06,Disease,Batch2,8.940752935644083
VIM,VIM,D07,Disease,Batch2,8.725266253236166
VIM,VIM,D08,Disease,Batch2,9.000168995015887
VIM,VIM,D09,Disease,Batch2,8.710496921882498
VIM,VIM,D10,Disease,Batch2,8.417088072694364
HIF1A,HIF1A,C01,Control,Batch1,6.957597036573163
HIF1A,HIF1A,C02,Control,Batch1,7.231067155230382
HIF1A,HIF1A,C03,Control,Batch1,7.297654890611937
HIF1A,HIF1A,C04,Control,Batch1,7.596098298567368
HIF1A,HIF1A,C05,Control,Batch1,7.353186509635366
HIF1A,HIF1A,C06,Control,Batch2,7.434901487172221
HIF1A,HIF1A,C07,Control,Batch2,7.623632586970845
HIF1A,HIF1A,C08,Control,Batch2,7.076335226736397
HIF1A,HIF1A,C09,Control,Batch2,7.5167502028173585
HIF1A,HIF1A,C10,Control,Batch2,7.6130953172574705
HIF1A,HIF1A,D01,Disease,Batch1,7.728194058117445
HIF1A,HIF1A,D02,Disease,Batch1,8.200215310135064
HIF1A,HIF1A,D03,Disease,Batch1,8.055268935706811
HIF1A,HIF1A,D04,Disease,Batch1,7.919587757855673
HIF1A,HIF1A,D05,Disease,Batch1,8.108240318256948
HIF1A,HIF1A,D06,Disease,Batch2,8.583064296762608
HIF1A,HIF1A,D07,Disease,Batch2,8.207075508268346
HIF1A,HIF1A,D08,Disease,Batch2,8.219019287891877
HIF1A,HIF1A,D09,Disease,Batch2,8.091654620440572
HIF1A,HIF1A,D10,Disease,Batch2,8.021367595854153
NFKB1,NFKB1,C01,Control,Batch1,8.427139982917376
NFKB1,NFKB1,C02,Control,Batch1,8.594116994280462
NFKB1,NFKB1,C03,Control,Batch1,8.49525673116325
NFKB1,NFKB1,C04,Control,Batch1,8.667451440215322
NFKB1,NFKB1,C05,Control,Batch1,8.641294250532622
NFKB1,NFKB1,C06,Control,Batch2,8.947992261547393
NFKB1,NFKB1,C07,Control,Batch2,8.669432119787118
NFKB1,NFKB1,C08,Control,Batch2,8.712657583228165
NFKB1,NFKB1,C09,Control,Batch2,8.585057602740156
NFKB1,NFKB1,C10,Control,Batch2,8.681262284767271
NFKB1,NFKB1,D01,Disease,Batch1,9.549149160329046
NFKB1,NFKB1,D02,Disease,Batch1,9.617493022577136
NFKB1,NFKB1,D03,Disease,Batch1,9.315245313229
NFKB1,NFKB1,D04,Disease,Batch1,9.63776413719999
NFKB1,NFKB1,D05,Disease,Batch1,9.725249886165864
NFKB1,NFKB1,D06,Disease,Batch2,9.735653354161238
NFKB1,NFKB1,D07,Disease,Batch2,9.999058317841424
NFKB1,NFKB1,D08,Disease,Batch2,9.521953015742328
NFKB1,NFKB1,D09,Disease,Batch2,9.437197224984917
NFKB1,NFKB1,D10,Disease,Batch2,9.341065426778203
RELA,RELA,C01,Control,Batch1,9.165016836186158
RELA,RELA,C02,Control,Batch1,9.037225777278547
RELA,RELA,C03,Control,Batch1,9.097625370779996
RELA,RELA,C04,Control,Batch1,8.84464298952872
RELA,RELA,C05,Control,Batch1,9.487466374373456
RELA,RELA,C06,Control,Batch2,9.250490830797968
RELA,RELA,C07,Control,Batch2,9.24692208107131
RELA,RELA,C08,Control,Batch2,9.357869010344192
RELA,RELA,C09,Control,Batch2,9.313812679755037
RELA,RELA,C10,Control,Batch2,9.26753014241267
RELA,RELA,D01,Disease,Batch1,9.704945616062272
RELA,RELA,D02,Disease,Batch1,9.932095322326909
RELA,RELA,D03,Disease,Batch1,10.185995427407935
RELA,RELA,D04,Disease,Batch1,10.089406626350325
RELA,RELA,D05,Disease,Batch1,10.13400461083752
RELA,RELA,D06,Disease,Batch2,9.935212196284816
RELA,RELA,D07,Disease,Batch2,9.849102150395884
RELA,RELA,D08,Disease,Batch2,10.004589372424492
RELA,RELA,D09,Disease,Batch2,10.037261502254394
RELA,RELA,D10,Disease,Batch2,10.2241854913672
JAK1,JAK1,C01,Control,Batch1,7.090593816702537
JAK1,JAK1,C02,Control,Batch1,6.786833337455408
JAK1,JAK1,C03,Control,Batch1,6.738436166609091
JAK1,JAK1,C04,Control,Batch1,6.633095971652796
JAK1,JAK1,C05,Control,Batch1,6.5174005582637875
JAK1,JAK1,C06,Control,Batch2,7.14344546431277
JAK1,JAK1,C07,Control,Batch2,7.008471993293539
JAK1,JAK1,C08,Control,Batch2,6.763081797246237
JAK1,JAK1,C09,Control,Batch2,6.7621605802281755
JAK1,JAK1,C10,Control,Batch2,6.934833513327403
JAK1,JAK1,D01,Disease,Batch1,7.815698633751717
JAK1,JAK1,D02,Disease,Batch1,7.468548315954178
JAK1,JAK1,D03,Disease,Batch1,7.244709027638367
JAK1,JAK1,D04,Disease,Batch1,7.471041007664157
JAK1,JAK1,D05,Disease,Batch1,7.466184516645046
JAK1,JAK1,D06,Disease,Batch2,7.209835163470143
JAK1,JAK1,D07,Disease,Batch2,7.68550168322642
JAK1,JAK1,D08,Disease,Batch2,7.653706543762064
JAK1,JAK1,D09,Disease,Batch2,7.820591904866042
JAK1,JAK1,D10,Disease,Batch2,8.028086856289788
JAK2,JAK2,C01,Control,Batch1,8.74019555638356
JAK2,JAK2,C02,Control,Batch1,8.589420857109928
JAK2,JAK2,C03,Control,Batch1,9.251800285268404
JAK2,JAK2,C04,Control,Batch1,8.799254838806037
JAK2,JAK2,C05,Control,Batch1,8.79110279322776
JAK2,JAK2,C06,Control,Batch2,8.964253005003629
JAK2,JAK2,C07,Control,Batch2,9.004250777621642
JAK2,JAK2,C08,Control,Batch2,8.94261064653712
JAK2,JAK2,C09,Control,Batch2,8.865336359444987
JAK2,JAK2,C10,Control,Batch2,8.87016091126016
JAK2,JAK2,D01,Disease,Batch1,9.58269993204455
JAK2,JAK2,D02,Disease,Batch1,9.490779061879353
JAK2,JAK2,D03,Disease,Batch1,9.46028327980154
JAK2,JAK2,D04,Disease,Batch1,9.607752961667972
JAK2,JAK2,D05,Disease,Batch1,9.542699621547676
JAK2,JAK2,D06,Disease,Batch2,10.039314258628314
JAK2,JAK2,D07,Disease,Batch2,9.291420955172688
JAK2,JAK2,D08,Disease,Batch2,9.965066754029474
JAK2,JAK2,D09,Disease,Batch2,9.992890855333004
JAK2,JAK2,D10,Disease,Batch2,9.395385278849963
STAT1,STAT1,C01,Control,Batch1,7.693259328264514
STAT1,STAT1,C02,Control,Batch1,7.506766579094548
STAT1,STAT1,C03,Control,Batch1,7.6201116803773985
STAT1,STAT1,C04,Control,Batch1,7.560215031959907
STAT1,STAT1,C05,Control,Batch1,8.075527363960008
STAT1,STAT1,C06,Control,Batch2,8.108540794910299
STAT1,STAT1,C07,Control,Batch2,8.168998601242704
STAT1,STAT1,C08,Control,Batch2,8.070019655671539
STAT1,STAT1,C09,Control,Batch2,7.736889365324655
STAT1,STAT1,C10,Control,Batch2,7.845705036213396
STAT1,STAT1,D01,Disease,Batch1,8.748206105164781
STAT1,STAT1,D02,Disease,Batch1,8.440135678543205
STAT1,STAT1,D03,Disease,Batch1,8.788458401574786
STAT1,STAT1,D04,Disease,Batch1,8.616860112475292
STAT1,STAT1,D05,Disease,Batch1,8.592650938784828
STAT1,STAT1,D06,Disease,Batch2,8.968091478420385
STAT1,STAT1,D07,Disease,Batch2,8.920086080211243
STAT1,STAT1,D08,Disease,Batch2,8.775144774296322
STAT1,STAT1,D09,Disease,Batch2,9.04879804874932
STAT1,STAT1,D10,Disease,Batch2,
SOCS3,SOCS3,C01,Control,Batch1,8.537913151295294
SOCS3,SOCS3,C02,Control,Batch1,8.375436565784467
SOCS3,SOCS3,C03,Control,Batch1,
SOCS3,SOCS3,C04,Control,Batch1,8.20595448111163
SOCS3,SOCS3,C05,Control,Batch1,8.597479788318228
SOCS3,SOCS3,C06,Control,Batch2,8.577872540301247
SOCS3,SOCS3,C07,Control,Batch2,8.517064781167559
SOCS3,SOCS3,C08,Control,Batch2,8.799976585511626
SOCS3,SOCS3,C09,Control,Batch2,
SOCS3,SOCS3,C10,Control,Batch2,8.357631891515544
SOCS3,SOCS3,D01,Disease,Batch1,8.750961673626682
SOCS3,SOCS3,D02,Disease,Batch1,9.1402367161032
SOCS3,SOCS3,D03,Disease,Batch1,8.800677641411655
SOCS3,SOCS3,D04,Disease,Batch1,9.347017877618171
SOCS3,SOCS3,D05,Disease,Batch1,8.656407631441915
SOCS3,SOCS3,D06,Disease,Batch2,9.516517071153192
SOCS3,SOCS3,D07,Disease,Batch2,9.249138068957457
SOCS3,SOCS3,D08,Disease,Batch2,9.193746564724314
SOCS3,SOCS3,D09,Disease,Batch2,9.113069489235373
SOCS3,SOCS3,D10,Disease,Batch2,9.282999425444357
PTEN,PTEN,C01,Control,Batch1,8.17225004706558
PTEN,PTEN,C02,Control,Batch1,7.994216685061773
PTEN,PTEN,C03,Control,Batch1,8.000710025365743
PTEN,PTEN,C04,Control,Batch1,7.9082055101041115
PTEN,PTEN,C05,Control,Batch1,7.963405496032814
PTEN,PTEN,C06,Control,Batch2,8.209060026703177
PTEN,PTEN,C07,Control,Batch2,7.845825397624414
PTEN,PTEN,C08,Control,Batch2,7.910982332323578
PTEN,PTEN,C09,Control,Batch2,8.287443245226696
PTEN,PTEN,C10,Control,Batch2,8.184411487165637
PTEN,PTEN,D01,Disease,Batch1,7.440538707759123
PTEN,PTEN,D02,Disease,Batch1,7.476973816254376
PTEN,PTEN,D03,Disease,Batch1,7.536220415267707
PTEN,PTEN,D04,Disease,Batch1,7.37649896584692
PTEN,PTEN,D05,Disease,Batch1,7.333560857730189
PTEN,PTEN,D06,Disease,Batch2,7.688907854220188
PTEN,PTEN,D07,Disease,Batch2,7.477548608331901
PTEN,PTEN,D08,Disease,Batch2,7.727141204331211
PTEN,PTEN,D09,Disease,Batch2,7.3471906595397956
PTEN,PTEN,D10,Disease,Batch2,7.838903723021222
FOXO1,FOXO1,C01,Control,Batch1,8.376903589865627
FOXO1,FOXO1,C02,Control,Batch1,8.507702614799323
FOXO1,FOXO1,C03,Control,Batch1,8.630603637692394
FOXO1,FOXO1,C04,Control,Batch1,8.513404849392392
FOXO1,FOXO1,C05,Control,Batch1,7.999460876049433
FOXO1,FOXO1,C06,Control,Batch2,8.280494383676704
FOXO1,FOXO1,C07,Control,Batch2,8.398350893703906
FOXO1,FOXO1,C08,Control,Batch2,8.515514626727079
FOXO1,FOXO1,C09,Control,Batch2,8.603996861373572
FOXO1,FOXO1,C10,Control,Batch2,8.380184351321505
FOXO1,FOXO1,D01,Disease,Batch1,7.764436255295005
FOXO1,FOXO1,D02,Disease,Batch1,7.594849309865532
FOXO1,FOXO1,D03,Disease,Batch1,7.620745033150579
FOXO1,FOXO1,D04,Disease,Batch1,7.47761924025645
FOXO1,FOXO1,D05,Disease,Batch1,7.564636253389168
FOXO1,FOXO1,D06,Disease,Batch2,
FOXO1,FOXO1,D07,Disease,Batch2,7.7351610521532095
FOXO1,FOXO1,D08,Disease,Batch2,8.100473761078542
FOXO1,FOXO1,D09,Disease,Batch2,7.7399264376993795
FOXO1,FOXO1,D10,Disease,Batch2,8.38464700935986
S6K1,RPS6KB1,C01,Control,Batch1,8.3785930328817
S6K1,RPS6KB1,C02,Control,Batch1,8.190818130184004
S6K1,RPS6KB1,C03,Control,Batch1,8.471378308910241
S6K1,RPS6KB1,C04,Control,Batch1,8.241707721893823
S6K1,RPS6KB1,C05,Control,Batch1,8.367284297252787
S6K1,RPS6KB1,C06,Control,Batch2,8.986137747505005
S6K1,RPS6KB1,C07,Control,Batch2,8.508031748666184
S6K1,RPS6KB1,C08,Control,Batch2,8.732191729348044
S6K1,RPS6KB1,C09,Control,Batch2,8.398750774093962
S6K1,RPS6KB1,C10,Control,Batch2,8.51902460232717
S6K1,RPS6KB1,D01,Disease,Batch1,9.364066645031013
S6K1,RPS6KB1,D02,Disease,Batch1,8.932468460214823
S6K1,RPS6KB1,D03,Disease,Batch1,9.371563271056068
S6K1,RPS6KB1,D04,Disease,Batch1,9.172717878998608
S6K1,RPS6KB1,D05,Disease,Batch1,8.944078510955654
S6K1,RPS6KB1,D06,Disease,Batch2,9.339155923646615
S6K1,RPS6KB1,D07,Disease,Batch2,9.400382331549432
S6K1,RPS6KB1,D08,Disease,Batch2,9.337248323815716
S6K1,RPS6KB1,D09,Disease,Batch2,8.942682081036338
S6K1,RPS6KB1,D10,Disease,Batch2,9.094437838968144
ERK2,MAPK1,C01,Control,Batch1,7.813338937875939
ERK2,MAPK1,C02,Control,Batch1,7.938457932673068
ERK2,MAPK1,C03,Control,Batch1,7.858723135281932
ERK2,MAPK1,C04,Control,Batch1,7.586374970546128
ERK2,MAPK1,C05,Control,Batch1,7.89517256829502
ERK2,MAPK1,C06,Control,Batch2,8.116642389265035
ERK2,MAPK1,C07,Control,Batch2,8.107499235741534
ERK2,MAPK1,C08,Control,Batch2,8.20127748571378
ERK2,MAPK1,C09,Control,Batch2,8.15684294293275
ERK2,MAPK1,C10,Control,Batch2,8.089389369375066
ERK2,MAPK1,D01,Disease,Batch1,8.81410712705139
ERK2,MAPK1,D02,Disease,Batch1,8.527763987081068
ERK2,MAPK1,D03,Disease,Batch1,8.904068234557812
ERK2,MAPK1,D04,Disease,Batch1,8.864120738803306
ERK2,MAPK1,D05,Disease,Batch1,8.875621145809113
ERK2,MAPK1,D06,Disease,Batch2,8.776922211466292
ERK2,MAPK1,D07,Disease,Batch2,8.81214677784046
ERK2,MAPK1,D08,Disease,Batch2,9.196304468713869
ERK2,MAPK1,D09,Disease,Batch2,8.999617027419749
ERK2,MAPK1,D10,Disease,Batch2,9.12940708064102
GSK3B,GSK3B,C01,Control,Batch1,8.025178968400557
GSK3B,GSK3B,C02,Control,Batch1,8.188713948367003
GSK3B,GSK3B,C03,Control,Batch1,7.926934812212195
GSK3B,GSK3B,C04,Control,Batch1,8.037124603140699
GSK3B,GSK3B,C05,Control,Batch1,7.936613311324415
GSK3B,GSK3B,C06,Control,Batch2,8.121613542353506
GSK3B,GSK3B,C07,Control,Batch2,8.144171881066967
GSK3B,GSK3B,C08,Control,Batch2,8.23980694218539
GSK3B,GSK3B,C09,Control,Batch2,8.113648111391896
GSK3B,GSK3B,C10,Control,Batch2,8.425858965894555
GSK3B,GSK3B,D01,Disease,Batch1,8.35879354889181
GSK3B,GSK3B,D02,Disease,Batch1,8.486185967342278
GSK3B,GSK3B,D03,Disease,Batch1,8.440671272801971
GSK3B,GSK3B,D04,Disease,Batch1,8.780278882474994
GSK3B,GSK3B,D05,Disease,Batch1,8.555202723063406
GSK3B,GSK3B,D06,Disease,Batch2,8.885554880395677
GSK3B,GSK3B,D07,Disease,Batch2,8.432421996144667
GSK3B,GSK3B,D08,Disease,Batch2,8.74789191114779
GSK3B,GSK3B,D09,Disease,Batch2,8.85995640650354
GSK3B,GSK3B,D10,Disease,Batch2,8.7146339813609
BCL2,BCL2,C01,Control,Batch1,8.652724341527678
BCL2,BCL2,C02,Control,Batch1,8.99951880177915
BCL2,BCL2,C03,Control,Batch1,9.159637924797211
BCL2,BCL2,C04,Control,Batch1,8.680525321666607
BCL2,BCL2,C05,Control,Batch1,8.665645808693608
BCL2,BCL2,C06,Control,Batch2,9.187445468426931
BCL2,BCL2,C07,Control,Batch2,9.210159248777273
BCL2,BCL2,C08,Control,Batch2,8.831721457658157
BCL2,BCL2,C09,Control,Batch2,8.850202635468492
BCL2,BCL2,C10,Control,Batch2,8.875115032950854
BCL2,BCL2,D01,Disease,Batch1,7.903835170559576
BCL2,BCL2,D02,Disease,Batch1,7.98047891217859
BCL2,BCL2,D03,Disease,Batch1,7.965090924530374
BCL2,BCL2,D04,Disease,Batch1,8.007632700827003
BCL2,BCL2,D05,Disease,Batch1,8.139592982816126
BCL2,BCL2,D06,Disease,Batch2,8.367994914402319
BCL2,BCL2,D07,Disease,Batch2,8.60492635125228
BCL2,BCL2,D08,Disease,Batch2,8.146132535212763
BCL2,BCL2,D09,Disease,Batch2,8.50301429427153
BCL2,BCL2,D10,Disease,Batch2,8.287318270585153
