Assay,SampleID,NPX_normalized,Group,Batch
MMP9,D04,0.6389272745693599,Disease,Batch1
MTOR,D04,-0.7652989252519014,Disease,Batch1
NFKB1,D04,0.8636311718884144,Disease,Batch1
PIK3CA,D04,-0.2391580651411651,Disease,Batch1
PTEN,D04,-1.3976339994646558,Disease,Batch1
RELA,D04,1.3152736610387485,Disease,Batch1
S6K1,D04,0.3985849136870314,Disease,Batch1
SOCS3,D04,0.5728849123065949,Disease,Batch1
STAT1,D04,-0.15727285283628412,Disease,Batch1
STAT3,D04,-0.556777365796929,Disease,Batch1
TGFB1,D04,0.15367191549892567,Disease,Batch1
TNF,D04,-0.044841653225399014,Disease,Batch1
VEGFA,D04,2.2052104073049605,Disease,Batch1
VIM,D04,-0.1180230020438433,Disease,Batch1
ACTB,D05,-1.8191270099608694,Disease,Batch1
AKR1C3,D05,-0.4213208601696312,Disease,Batch1
AKT1,D05,0.37341791709284955,Disease,Batch1
ALB,D05,0.049726488225518395,Disease,Batch1
APOB,D05,-0.24828590812511742,Disease,Batch1
BCL2,D05,-0.5665411368513062,Disease,Batch1
CCL2,D05,0.8598967370309776,Disease,Batch1
CRP,D05,2.2201538208703173,Disease,Batch1
CXCL8,D05,1.5895003452719099,Disease,Batch1
EGFR,D05,0.9403540321770567,Disease,Batch1
ERK2,D05,0.16948702614168099,Disease,Batch1
FOS,D05,-0.06422385148807663,Disease,Batch1
FOXO1,D05,-1.1414978662782644,Disease,Batch1
GAPDH,D05,-1.0263342358457885,Disease,Batch1
GSK3B,D05,-0.150931396604026,Disease,Batch1
HIF1A,D05,-0.5978938014104838,Disease,Batch1
IGF1,D05,-1.4469893175084207,Disease,Batch1
IL6,D05,1.008939233874333,Disease,Batch1
INS,D05,-2.01841803837127,Disease,Batch1
JAK1,D05,-1.239949603022386,Disease,Batch1
JAK2,D05,0.8365655018802443,Disease,Batch1
JUN,D05,1.019087230570495,Disease,Batch1
LDLR,D05,-0.33991694744440437,Disease,Batch1
LEP,D05,2.1563905114387225,Disease,Batch1
MAPK1,D05,0.15725385500758193,Disease,Batch1
MMP2,D05,0.40738204306999926,Disease,Batch1
MMP9,D05,0.6516075592385864,Disease,Batch1
MTOR,D05,-0.626961816747512,Disease,Batch1
NFKB1,D05,1.019115766498432,Disease,Batch1
PIK3CA,D05,-0.2143053257001899,Disease,Batch1
PTEN,D05,-1.3725732619372426,Disease,Batch1
RELA,D05,1.4278704911700881,Disease,Batch1
S6K1,D05,0.23794439128822198,Disease,Batch1
SOCS3,D05,-0.04972648822551662,Disease,Batch1
STAT1,D05,-0.11348318088260356,Disease,Batch1
STAT3,D05,-0.42190654460509336,Disease,Batch1
TGFB1,D05,0.10636415036305458,Disease,Batch1
TNF,D05,-0.4145076631798137,Disease,Batch1
VEGFA,D05,1.7219497702084965,Disease,Batch1
VIM,D05,0.27138851311512546,Disease,Batch1
ACTB,D06,-2.2275176399476173,Disease,Batch2
AKR1C3,D06,-0.5672323421106071,Disease,Batch2
AKT1,D06,-0.07153696828301825,Disease,Batch2
ALB,D06,0.274921409976141,Disease,Batch2
APOB,D06,-0.4699828773454353,Disease,Batch2
BCL2,D06,-0.5727580212417642,Disease,Batch2
CCL2,D06,0.773168815200032,Disease,Batch2
CRP,D06,1.9709909061571604,Disease,Batch2
CXCL8,D06,1.3504408252783158,Disease,Batch2
EGFR,D06,0.8046373698035847,Disease,Batch2
ERK2,D06,-0.16383072417779054,Disease,Batch2
FOS,D06,-0.6434753454565865,Disease,Batch2
FOXO1,D06,,Disease,Batch2
GAPDH,D06,-1.516695684631209,Disease,Batch2
GSK3B,D06,-0.05519805524840571,Disease,Batch2
HIF1A,D06,-0.3576886388814753,Disease,Batch2
IGF1,D06,-1.5901452341928435,Disease,Batch2
IL6,D06,0.8272520817952564,Disease,Batch2
INS,D06,-2.1842222412224777,Disease,Batch2
JAK1,D06,-1.7309177721739397,Disease,Batch2
JAK2,D06,1.0985613229842315,Disease,Batch2
JUN,D06,0.658392922263042,Disease,Batch2
LDLR,D06,0.10363775428305111,Disease,Batch2
LEP,D06,1.9844083393381204,Disease,Batch2
MAPK1,D06,0.21792068433679113,Disease,Batch2
MMP2,D06,0.34997528795054933,Disease,Batch2
MMP9,D06,0.4343242935019216,Disease,Batch2
MTOR,D06,-1.055859977128713,Disease,Batch2
NFKB1,D06,0.7949004185171553,Disease,Batch2
PIK3CA,D06,-0.4814651912383887,Disease,Batch2
PTEN,D06,-1.2518450814238946,Disease,Batch2
RELA,D06,0.994459260640733,Disease,Batch2
S6K1,D06,0.39840298800253215,Disease,Batch2
SOCS3,D06,0.5757641355091092,Disease,Batch2
STAT1,D06,0.027338542776302432,Disease,Batch2
STAT3,D06,-0.8327953821063847,Disease,Batch2
TGFB1,D06,-0.10755603336860098,Disease,Batch2
TNF,D06,-0.3899545001089102,Disease,Batch2
VEGFA,D06,1.8455483946593016,Disease,Batch2
VIM,D06,0.0,Disease,Batch2
ACTB,D07,-1.8002827527693697,Disease,Batch2
AKR1C3,D07,-0.023093530666205453,Disease,Batch2
AKT1,D07,0.17065306652875023,Disease,Batch2
ALB,D07,-0.13812474939024533,Disease,Batch2
APOB,D07,-0.2547732329573158,Disease,Batch2
BCL2,D07,-0.20730368307667746,Disease,Batch2
CCL2,D07,1.3370727416290222,Disease,Batch2
CRP,D07,2.5134487396465186,Disease,Batch2
CXCL8,D07,1.273399263128983,Disease,Batch2
EGFR,D07,1.1720343926460561,Disease,Batch2
ERK2,D07,-8.325648849627498e-05,Disease,Batch2
FOS,D07,-0.19237136738462368,Disease,Batch2
FOXO1,D07,-1.0770689821757475,Disease,Batch2
GAPDH,D07,-0.9898749980858472,Disease,Batch2
GSK3B,D07,-0.3798080381842901,Disease,Batch2
HIF1A,D07,-0.6051545260606108,Disease,Batch2
IGF1,D07,-1.2467182392209741,Disease,Batch2
IL6,D07,1.1245183734056123,Disease,Batch2
INS,D07,-2.2388670074771317,Disease,Batch2
JAK1,D07,-1.1267283511025372,Disease,Batch2
JAK2,D07,0.47919092084373105,Disease,Batch2
JUN,D07,1.2031085414097191,Disease,Batch2
LDLR,D07,-0.12051440586554385,Disease,Batch2
LEP,D07,1.8161804015445675,Disease,Batch2
MAPK1,D07,0.46241429088130026,Disease,Batch2
MMP2,D07,0.7154606392042702,Disease,Batch2
MMP9,D07,0.6374711033204452,Disease,Batch2
MTOR,D07,-0.6091156109961791,Disease,Batch2
NFKB1,D07,1.186828283512467,Disease,Batch2
PIK3CA,D07,-0.17389171445195295,Disease,Batch2
PTEN,D07,-1.334681425997056,Disease,Batch2
RELA,D07,1.0368721160669274,Disease,Batch2
S6K1,D07,0.5881522972204749,Disease,Batch2
SOCS3,D07,0.4369080346284999,Disease,Batch2
STAT1,D07,0.10785604588228637,Disease,Batch2
STAT3,D07,-0.3831419602239716,Disease,Batch2
TGFB1,D07,0.1961174752888457,Disease,Batch2
TNF,D07,8.325648849627498e-05,Disease,Batch2
VEGFA,D07,2.076812607491382,Disease,Batch2
VIM,D07,-0.08696378109279124,Disease,Batch2
ACTB,D08,-1.7434016794779579,Disease,Batch2
AKR1C3,D08,0.046652979660464666,Disease,Batch2
AKT1,D08,0.3379250513846497,Disease,Batch2
ALB,D08,-0.30355185239775295,Disease,Batch2
APOB,D08,-0.47797090506307427,Disease,Batch2
BCL2,D08,-0.7733340255184533,Disease,Batch2
CCL2,D08,0.984951159949139,Disease,Batch2
CRP,D08,2.1478262918229216,Disease,Batch2
CXCL8,D08,1.231402129087206,Disease,Batch2
EGFR,D08,0.8447890127828295,Disease,Batch2
ERK2,D08,0.27683790798265306,Disease,Batch2
FOS,D08,-0.2860630853579824,Disease,Batch2
FOXO1,D08,-0.8189927996526745,Disease,Batch2
GAPDH,D08,-1.3141886357267474,Disease,Batch2
GSK3B,D08,-0.17157464958342672,Disease,Batch2
HIF1A,D08,-0.7004472728393392,Disease,Batch2
IGF1,D08,-1.8796501692951617,Disease,Batch2
IL6,D08,0.9739445304900141,Disease,Batch2
INS,D08,-2.3207375159084584,Disease,Batch2
JAK1,D08,-1.2657600169691516,Disease,Batch2
JAK2,D08,1.0456001932982577,Disease,Batch2
JUN,D08,0.5910358477363502,Disease,Batch2
LDLR,D08,-0.45229958279256444,Disease,Batch2
LEP,D08,1.4850312772847971,Disease,Batch2
MAPK1,D08,0.09332827878486327,Disease,Batch2
MMP2,D08,0.5590192222621617,Disease,Batch2
MMP9,D08,0.4789564137439051,Disease,Batch2
MTOR,D08,-0.6125309347155721,Disease,Batch2
NFKB1,D08,0.6024864550111122,Disease,Batch2
PIK3CA,D08,-0.2671006957312656,Disease,Batch2
PTEN,D08,-1.192325356400005,Disease,Batch2
RELA,D08,1.0851228116932763,Disease,Batch2
S6K1,D08,0.4177817630845002,Disease,Batch2
SOCS3,D08,0.2742800039930984,Disease,Batch2
STAT1,D08,-0.1443217864348938,Disease,Batch2
STAT3,D08,-0.5894856230416394,Disease,Batch2
TGFB1,D08,-0.046652979660464666,Disease,Batch2
TNF,D08,-0.10737814684712355,Disease,Batch2
VEGFA,D08,2.205471969209526,Disease,Batch2
VIM,D08,0.08070243428467094,Disease,Batch2
ACTB,D09,-2.4994630347161193,Disease,Batch2
AKR1C3,D09,-0.6004671724084325,Disease,Batch2
AKT1,D09,0.38373101983055413,Disease,Batch2
ALB,D09,-0.058624592612043,Disease,Batch2
APOB,D09,0.03961464603104048,Disease,Batch2
BCL2,D09,-0.4681352599565134,Disease,Batch2
CCL2,D09,0.6334123466990302,Disease,Batch2
CRP,D09,2.287595357284868,Disease,Batch2
CXCL8,D09,1.4308013980654142,Disease,Batch2
EGFR,D09,0.7023356866394668,Disease,Batch2
ERK2,D09,0.028467473191705395,Disease,Batch2
FOS,D09,-0.2437968648996094,Disease,Batch2
FOXO1,D09,-1.231223116528664,Disease,Batch2
GAPDH,D09,-1.143891592266554,Disease,Batch2
GSK3B,D09,-0.11119314772450295,Disease,Batch2
HIF1A,D09,-0.8794949337874716,Disease,Batch2
IGF1,D09,-1.6361928868624185,Disease,Batch2
IL6,D09,0.8239695602917116,Disease,Batch2
INS,D09,-2.5494528776176075,Disease,Batch2
JAK1,D09,-1.1505576493620016,Disease,Batch2
JAK2,D09,1.02174130110496,Disease,Batch2
JUN,D09,0.8973203224261823,Disease,Batch2
LDLR,D09,-0.6529546891309295,Disease,Batch2
LEP,D09,1.9854095263741023,Disease,Batch2
MAPK1,D09,0.09447803230070129,Disease,Batch2
MMP2,D09,0.5051930204276047,Disease,Batch2
MMP9,D09,0.40992793223571056,Disease,Batch2
MTOR,D09,-0.46247326303103975,Disease,Batch2
NFKB1,D09,0.4660476707568737,Disease,Batch2
PIK3CA,D09,-0.4015049847131671,Disease,Batch2
PTEN,D09,-1.623958894688248,Disease,Batch2
RELA,D09,1.0661119480263501,Disease,Batch2
S6K1,D09,-0.028467473191705395,Disease,Batch2
SOCS3,D09,0.1419199350073299,Disease,Batch2
STAT1,D09,0.0776484945212772,Disease,Batch2
STAT3,D09,-0.5674983545880288,Disease,Batch2
TGFB1,D09,0.1990746869300839,Disease,Batch2
TNF,D09,-0.1588340279730609,Disease,Batch2
VEGFA,D09,1.6359045964684995,Disease,Batch2
VIM,D09,-0.26065263234554514,Disease,Batch2
ACTB,D10,-2.1267645234569965,Disease,Batch2
AKR1C3,D10,-0.1761468992957873,Disease,Batch2
AKT1,D10,0.3528969732664713,Disease,Batch2
ALB,D10,0.09174942121931906,Disease,Batch2
APOB,D10,-0.23644479131810137,Disease,Batch2
BCL2,D10,-0.6125876364219938,Disease,Batch2
CCL2,D10,1.0968302561700956,Disease,Batch2
CRP,D10,,Disease,Batch2
CXCL8,D10,1.2482514567689833,Disease,Batch2
EGFR,D10,1.2916107785065964,Disease,Batch2
ERK2,D10,0.22950117363387257,Disease,Batch2
FOS,D10,-0.5359324625566835,Disease,Batch2
FOXO1,D10,-0.5152588976472874,Disease,Batch2
GAPDH,D10,-1.312742353570079,Disease,Batch2
GSK3B,D10,-0.18527192564624784,Disease,Batch2
HIF1A,D10,-0.8785383111529939,Disease,Batch2
IGF1,D10,-1.6889653932183402,Disease,Batch2
IL6,D10,0.7558995425385309,Disease,Batch2
INS,D10,-2.301086309240535,Disease,Batch2
JAK1,D10,-0.8718190507173595,Disease,Batch2
JAK2,D10,0.49547937184281565,Disease,Batch2
JUN,D10,1.2572117054088263,Disease,Batch2
LDLR,D10,-0.6988741002483199,Disease,Batch2
LEP,D10,1.7923389740997528,Disease,Batch2
MAPK1,D10,0.0,Disease,Batch2
MMP2,D10,0.6649911184561645,Disease,Batch2
MMP9,D10,0.7401856131703486,Disease,Batch2
MTOR,D10,-0.750539183152874,Disease,Batch2
NFKB1,D10,0.4411595197710554,Disease,Batch2
PIK3CA,D10,-0.21488285713225963,Disease,Batch2
PTEN,D10,-1.0610021839859254,Disease,Batch2
RELA,D10,1.3242795843600526,Disease,Batch2
S6K1,D10,0.19453193196099683,Disease,Batch2
SOCS3,D10,0.3830935184372102,Disease,Batch2
STAT1,D10,,Disease,Batch2
STAT3,D10,-0.3028027992884308,Disease,Batch2
TGFB1,D10,0.06832645346539934,Disease,Batch2
TNF,D10,,Disease,Batch2
VEGFA,D10,2.1749729062895877,Disease,Batch2
VIM,D10,-0.48281783431278313,Disease,Batch2
